
timestamp,email,role,status
2026-06-05 10:56:18,Admin,Admin,Successful Login
2026-06-05 10:56:18,Attempted_Admin,Admin,Failed Login (Invalid PIN)
2026-06-05 10:56:18,happy@student.edu.ph,Student,Successful Login
2026-06-05 10:56:19,Admin,Admin,Successful Login
2026-06-05 10:56:19,Moderator,Moderator,Successful Login
2026-06-05 10:56:19,Attempted_Unknown Staff,Unknown Staff,Failed Login (Invalid PIN)
2026-06-05 10:56:19,test@edu.ph,Student,Successful Login
2026-06-05 10:56:19,test@edu.ph,Student,Failed Login
2026-06-05 11:11:27,Admin,Admin,Successful Login
2026-06-05 11:11:27,Moderator,Moderator,Successful Login
2026-06-05 11:11:27,Attempted_Unknown Staff,Unknown Staff,Failed Login (Invalid PIN)
2026-06-05 11:11:27,test@edu.ph,Student,Successful Login
2026-06-05 11:11:27,test@edu.ph,Student,Failed Login
